# Created by Octave 7.1.0, Wed Jan 22 19:30:18 2025 CET <antonybazir@antonybazir-Latitude-E7450>
# name: b
# type: matrix
# rows: 32
# columns: 2
 0 0.38750000000000012
 0.2026833970057931 0.4804065975356453
 0.40536679401158621 4.5887961886329105
 0.60805019101737934 0.28782657597877781
 0.81073358802317241 3.4228665540598238
 1.0134169850289656 0.57493150387622316
 1.2161003820347587 0.28707022662417114
 1.4187837790405518 0.19769506865081118
 1.6214671760463448 0.1543553057225823
 1.8241505730521379 0.12914594310464803
 2.0268339700579312 0.11301257509783216
 2.2295173670637243 0.10213408060204177
 2.4322007640695174 0.094632062567049022
 2.6348841610753104 0.089491702881942012
 2.8375675580811035 0.086135749551558616
 3.0402509550868966 0.084235093728778215
 3.2429343520926897 0.083619173238054179
 3.4456177490984827 0.084235093728778215
 3.6483011461042758 0.086135749551558616
 3.8509845431100689 0.089491702881942012
 4.0536679401158615 0.094632062567049022
 4.2563513371216555 0.10213408060204177
 4.4590347341274486 0.11301257509783216
 4.6617181311332416 0.12914594310464803
 4.8644015281390347 0.1543553057225823
 5.0670849251448278 0.19769506865081118
 5.2697683221506209 0.28707022662417114
 5.4724517191564139 0.57493150387622316
 5.675135116162207 3.4228665540598238
 5.8778185131680001 0.28782657597877781
 6.0805019101737932 4.5887961886329105
 6.2831853071795862 0.4804065975356453


