X_(unit),y1,y2
68.296,103.910,
68.715,103.072,
69.134,102.234,
69.553,101.396,
69.972,100.558,
70.391,98.254,
70.810,94.902,
71.229,91.340,
71.648,87.150,
72.067,82.542,
72.486,78.352,
72.905,74.790,
73.324,71.648,
73.743,68.505,
74.162,65.363,
74.581,62.220,
75.000,56.774,
75.419,48.603,
75.838,41.271,
76.257,36.243,
76.676,32.891,
77.095,29.539,
77.514,26.187,
77.933,22.835,
78.352,19.064,
78.771,14.874,
79.190,10.684,
79.609,8.170,
80.028,7.751,
80.447,7.332,
80.866,6.913,
81.285,6.494,
81.704,6.704,
82.123,9.218,
82.542,12.360,
82.961,15.712,
83.380,19.064,
83.799,22.416,
84.218,25.768,
84.637,29.120,
85.056,32.681,
85.475,38.757,
85.894,47.137,
86.313,55.726,60.7540
86.732,64.944,
87.150,74.581,
87.569,82.751,
87.988,87.988,
88.407,91.969,
88.826,95.949,
89.245,99.930,
89.664,103.910,
90.083,108.729,
90.502,113.966,
90.921,119.203,
91.340,122.765,
91.759,125.069,
92.178,127.374,
92.597,129.678,
93.016,131.983,
93.435,134.078,
93.854,135.963,
94.273,137.639,
94.692,138.477,
95.111,138.687,
95.530,138.687,
95.949,138.687,
96.368,138.687,
96.787,138.477,
97.206,137.220,
97.625,135.544,
98.044,134.078,
98.463,132.821,
98.882,131.773,
99.301,130.726,
99.720,129.678,
100.139,128.631,
100.558,126.745,
100.977,124.231,
101.396,121.717,
101.815,119.413,
102.234,117.318,
102.653,115.642,
103.072,114.595,
103.491,114.176,
103.910,113.338,
104.329,112.919,
104.748,112.290,
105.167,111.662,
105.586,111.243,
106.005,110.824,
106.424,110.614,
106.843,110.405,
107.262,110.195,
107.681,109.776,
108.100,109.776,
108.519,NaN,
108.938,109.357,
109.357,109.357,
109.776,109.357,
110.195,109.357,
110.614,109.357,
111.033,109.357,
111.452,109.357,
111.871,109.357,
112.290,109.357,
112.709,109.357,
113.128,NaN,
113.547,109.357,
113.966,109.357,
114.385,109.357,
114.804,109.357,
115.223,109.357,
115.642,109.357,
116.061,109.357,
116.480,109.776,
116.899,109.776,
117.318,110.195,
117.737,110.614,
118.156,110.614,
118.575,110.614,
118.994,110.614,
119.413,110.614,
119.832,110.614,
120.251,110.614,
120.670,110.614,
121.089,110.614,
121.508,110.614,
121.927,110.614,
122.346,110.614,
122.765,110.614,
123.184,110.614,
123.603,110.614,
124.022,110.614,
124.441,110.614,
124.860,110.614,
125.279,110.614,
125.698,110.614,
126.117,110.614,
126.536,110.614,
126.955,110.614,
127.374,110.614,
127.793,110.614,
128.212,110.614,
128.631,110.614,
129.050,110.614,
129.469,110.614,
129.888,110.614,
130.307,110.614,
130.726,110.614,
131.145,110.614,
131.564,110.614,
131.983,110.614,
132.402,110.614,
132.821,110.614,
133.240,110.614,
133.659,110.614,
134.078,110.614,
