X_(unit),y1,y2
0.000000,0.180190,
0.000683,0.180190,
0.001365,0.180190,
0.002048,0.180190,
0.002730,0.180190,
0.003413,0.180190,
0.004095,0.180190,
0.004778,0.180190,
0.005460,0.180190,
0.006143,0.180190,
0.006825,0.180190,
0.007508,0.179849,
0.008190,0.179508,
0.008873,0.178825,
0.009556,0.178825,
0.010238,0.177801,
0.010921,0.176095,
0.011603,0.174047,
0.012286,0.172341,
0.012968,0.170976,
0.013651,0.169611,
0.014333,0.168246,
0.015016,0.167563,
0.015698,0.166198,
0.016381,0.165516,
0.017063,0.164151,
0.017746,0.163468,
0.018429,0.162103,
0.019111,0.160738,
0.019794,0.159714,
0.020476,0.159032,
0.021159,0.159032,
0.021841,0.158349,
0.022524,0.158008,
0.023206,0.157666,
0.023889,0.157666,
0.024571,0.157666,
0.025254,0.157666,
0.025936,0.157666,
0.026619,0.157666,
0.027302,0.157666,
0.027984,0.157666,
0.028667,0.157666,
0.029349,0.158008,
0.030032,0.159373,
0.030714,0.160738,
0.031397,0.161762,
0.032079,0.161762,
0.032762,0.162444,
0.033444,0.162444,
0.034127,0.163127,
0.034809,0.163468,
0.035492,0.164151,
0.036175,0.164833,
0.036857,0.165516,
0.037540,0.166881,
0.038222,0.168246,
0.038905,0.169270,
0.039587,0.169952,
0.040270,0.170635,
0.040952,0.171317,
0.041635,0.172000,
0.042317,0.172682,
0.043000,0.172682,
0.043682,0.172682,
0.044365,0.173024,
0.045048,0.174047,
0.045730,0.175071,
0.046413,0.176095,
0.047095,0.177119,
0.047778,0.178143,
0.048460,0.178143,
0.049143,0.178143,
0.049825,NaN,
0.050508,0.178143,
0.051190,0.178143,
0.051873,0.178143,
0.052555,0.178143,
0.053238,0.178143,
0.053921,0.178825,
0.054603,0.179508,
0.055286,0.180190,
0.055968,0.180190,
0.056651,0.180190,
0.057333,0.180190,
0.058016,0.180190,
0.058698,0.180190,
0.059381,0.180190,
0.060063,0.179508,
0.060746,0.178825,
0.061428,0.178825,
0.062111,0.178143,
0.062794,0.178143,
0.063476,0.178143,
0.064159,0.178143,
0.064841,0.178143,
0.065524,0.178143,
0.066206,0.178143,
0.066889,NaN,
0.067571,0.178143,
0.068254,0.178143,
0.068936,0.178143,
0.069619,0.178143,
0.070301,0.178143,
0.070984,0.178143,
0.071667,0.178143,
0.072349,0.178143,
0.073032,0.178143,
0.073714,0.178143,
0.074397,0.178143,
0.075079,0.178143,
0.075762,0.178143,
0.076444,0.178143,
0.077127,0.178143,
0.077809,0.178143,
0.078492,0.178143,
0.079175,0.178143,
0.079857,0.178143,
0.080540,0.178143,
0.081222,0.177460,
0.081905,0.176778,
0.082587,0.176095,
0.083270,0.175412,
0.083952,0.174730,
0.084635,0.174730,
0.085317,0.174730,
0.086000,0.174730,
0.086682,0.174730,
0.087365,0.174730,
0.088048,0.174730,
0.088730,0.174730,
0.089413,0.174730,
0.090095,0.174730,
0.090778,0.174730,
0.091460,0.174730,
0.092143,0.174730,
0.092825,0.174730,
0.093508,0.174730,
0.094190,0.174730,
0.094873,0.174730,
0.095555,0.174730,
0.096238,0.174730,
0.096921,0.174730,
0.097603,0.174730,
0.098286,0.174730,
0.098968,0.174730,
0.099651,0.174730,
0.100333,0.174730,
0.101016,0.174730,
0.101698,0.174730,
0.102381,0.174730,
0.103063,0.174730,
0.103746,0.174730,
0.104428,0.174730,
0.105111,0.174730,
0.105794,0.174730,
0.106476,0.174730,
0.107159,0.174730,
0.107841,0.174730,
0.108524,0.174389,
0.109206,0.173365,
0.109889,0.172000,
0.110571,0.170635,
0.111254,0.169270,
0.111936,0.167905,
0.112619,0.166539,
0.113301,0.165174,
0.113984,0.163809,
0.114667,0.160055,
0.115349,0.154595,
0.116032,0.148793,
0.116714,0.141968,
0.117397,0.134460,
0.118079,0.127635,
0.118762,0.121833,
0.119444,0.116714,
0.120127,0.111595,
0.120809,0.106476,
0.121492,0.101357,
0.122174,0.092484,
0.122857,0.079175,
0.123540,0.067230,
0.124222,0.059040,
0.124905,0.053579,
0.125587,0.048119,
0.126270,0.042659,
0.126952,0.037198,
0.127635,0.031056,
0.128317,0.024230,
0.129000,0.017405,
0.129682,0.013310,
0.130365,0.012627,
0.131047,0.011944,
0.131730,0.011262,
0.132413,0.010579,
0.133095,0.010921,
0.133778,0.015016,
0.134460,0.020135,
0.135143,0.025595,
0.135825,0.031056,
0.136508,0.036516,
0.137190,0.041976,
0.137873,0.047436,
0.138555,0.053238,
0.139238,0.063135,
0.139920,0.076786,
0.140603,0.090778,0.0989681
0.141286,0.105794,
0.141968,0.121492,
0.142651,0.134801,
0.143333,0.143333,
0.144016,0.149817,
0.144698,0.156301,
0.145381,0.162786,
0.146063,0.169270,
0.146746,0.177119,
0.147428,0.185651,
0.148111,0.194182,
0.148793,0.199984,
0.149476,0.203738,
0.150159,0.207492,
0.150841,0.211246,
0.151524,0.215000,
0.152206,0.218412,
0.152889,0.221484,
0.153571,0.224214,
0.154254,0.225579,
0.154936,0.225920,
0.155619,0.225920,
0.156301,0.225920,
0.156984,0.225920,
0.157666,0.225579,
0.158349,0.223531,
0.159032,0.220801,
0.159714,0.218412,
0.160397,0.216365,
0.161079,0.214658,
0.161762,0.212952,
0.162444,0.211246,
0.163127,0.209539,
0.163809,0.206468,
0.164492,0.202373,
0.165174,0.198278,
0.165857,0.194524,
0.166539,0.191111,
0.167222,0.188381,
0.167905,0.186674,
0.168587,0.185992,
0.169270,0.184627,
0.169952,0.183944,
0.170635,0.182920,
0.171317,0.181897,
0.172000,0.181214,
0.172682,0.180532,
0.173365,0.180190,
0.174047,0.179849,
0.174730,0.179508,
0.175412,0.178825,
0.176095,0.178825,
0.176778,NaN,
0.177460,0.178143,
0.178143,0.178143,
0.178825,0.178143,
0.179508,0.178143,
0.180190,0.178143,
0.180873,0.178143,
0.181555,0.178143,
0.182238,0.178143,
0.182920,0.178143,
0.183603,0.178143,
0.184285,NaN,
0.184968,0.178143,
0.185651,0.178143,
0.186333,0.178143,
0.187016,0.178143,
0.187698,0.178143,
0.188381,0.178143,
0.189063,0.178143,
0.189746,0.178825,
0.190428,0.178825,
0.191111,0.179508,
0.191793,0.180190,
0.192476,0.180190,
0.193158,0.180190,
0.193841,0.180190,
0.194524,0.180190,
0.195206,0.180190,
0.195889,0.180190,
0.196571,0.180190,
0.197254,0.180190,
