X_(unit),y1,y2
0.21773,110.614,
0.218412,110.614,
0.219095,110.614,
0.219777,110.614,
0.22046,110.614,
0.221143,110.614,
0.221825,110.614,
0.222508,110.614,
0.22319,110.405,
0.223873,110.195,
0.224555,109.986,
0.225238,109.776,
0.22592,109.776,
0.226603,109.357,
0.227285,109.357,
0.227968,109.357,
0.228651,109.357,
0.229333,109.357,
0.230016,109.357,
0.230698,109.357,
0.231381,109.357,
0.232063,109.357,
0.232746,109.357,
0.233428,109.357,
0.234111,109.148,
0.234793,108.729,
0.235476,108.31,
0.236158,107.891,
0.236841,107.472,
0.237524,107.262,
0.238206,107.262,
0.238889,107.262,
0.239571,106.843,
0.240254,106.424,
0.240936,106.215,
0.241619,106.005,
0.242301,106.005,
0.242984,106.005,
0.243666,106.005,
0.244349,106.005,
0.245031,106.005,
0.245714,106.005,
0.246397,106.005,
0.247079,106.005,
0.247762,105.586,
0.248444,105.586,
0.249127,105.167,
0.249809,105.167,
0.250492,104.748,
0.251174,104.539,
0.251857,104.12,
0.252539,103.91,
0.253222,103.91,
0.253904,103.91,
0.254587,103.91,
0.25527,103.91,
0.255952,103.91,
0.256635,103.91,
0.257317,103.91,
0.258,103.491,
0.258682,103.282,
0.259365,102.863,
0.260047,102.444,
0.26073,102.025,
0.261412,101.606,
0.262095,101.187,
0.262777,100.768,
0.26346,100.558,
0.264143,100.139,
0.264825,100.139,
0.265508,100.139,
0.26619,100.139,
0.266873,100.139,
0.267555,100.139,
0.268238,100.139,
0.26892,100.139,
0.269603,100.139,
0.270285,100.139,
0.270968,100.139,
0.27165,100.139,
0.272333,99.93,
0.273016,99.72,
0.273698,99.511,
0.274381,99.301,
0.275063,99.301,
0.275746,98.882,
0.276428,98.882,
0.277111,98.882,
0.277793,98.882,
0.278476,98.882,
0.279158,98.882,
0.279841,98.882,
0.280523,98.882,
0.281206,98.882,
0.281889,98.463,
0.282571,98.044,
0.283254,97.625,
0.283936,97.625,
0.284619,97.206,
0.285301,97.206,
0.285984,96.787,
0.286666,96.578,
0.287349,95.74,
0.288031,94.902,
0.288714,94.273,
0.289396,94.273,
0.290079,93.854,
0.290762,93.854,
0.291444,93.435,
0.292127,93.226,
0.292809,92.388,
0.293492,91.55,
0.294174,90.921,
0.294857,89.874,
0.295539,89.036,
0.296222,88.617,
0.296904,88.407,
0.297587,87.988,
0.298269,87.988,
0.298952,87.569,
0.299635,87.36,
0.300317,86.313,
0.301,85.056,
0.301682,84.008,
0.302365,83.589,
0.303047,83.17,
0.30373,82.751,
0.304412,82.332,
0.305095,81.913,
0.305777,81.075,
0.30646,80.237,
0.307142,79.609,
0.307825,78.98,
0.308508,78.561,
0.30919,78.142,
0.309873,77.723,
0.310555,77.304,
0.311238,76.676,
0.31192,75.419,
0.312603,74.162,
0.313285,73.533,
0.313968,73.324,
0.31465,72.905,
0.315333,72.905,
0.316015,72.486,
0.316698,72.276,
0.317381,71.229,
0.318063,69.972,
0.318746,68.924,
0.319428,68.086,
0.320111,67.248,
0.320793,66.41,
0.321476,65.991,
0.322158,65.572,
0.322841,65.153,
0.323523,64.734,
0.324206,64.315,
0.324888,63.477,
0.325571,62.639,
0.326254,62.011,
0.326936,61.382,
0.327619,60.963,
0.328301,60.544,
0.328984,60.125,
0.329666,59.706,
0.330349,59.287,
0.331031,58.449,
0.331714,57.612,
0.332396,56.983,
0.333079,56.983,
0.333761,56.564,
0.334444,56.564,
0.335127,56.145,
0.335809,55.936,
0.336492,55.517,
0.337174,55.307,
0.337857,54.888,
0.338539,54.469,
0.339222,54.469,
0.339904,54.05,
0.340587,54.05,
0.341269,53.631,
0.341952,53.631,
0.342634,53.631,
0.343317,53.631,
0.344,53.631,
0.344682,53.631,
0.345365,53.631,
0.346047,53.631,
0.34673,53.631,
0.347412,53.631,
0.348095,53.631,
0.348777,53.631,
0.34946,53.631,
0.350142,53.631,
0.350825,53.631,
0.351507,53.631,
0.35219,53.631,
0.352873,53.631,
0.353555,53.631,
0.354238,53.631,
0.35492,54.05,
0.355603,54.469,
0.356285,54.888,
0.356968,54.888,
0.35765,54.888,
0.358333,54.888,
0.359015,54.888,
0.359698,54.888,
0.360381,55.098,
0.361063,55.936,
0.361746,56.774,
0.362428,57.402,
0.363111,57.821,
0.363793,58.24,
0.364476,58.659,
0.365158,59.078,
0.365841,59.497,
0.366523,59.916,
0.367206,60.335,
0.367888,60.963,
0.368571,62.011,
0.369254,63.268,
0.369936,64.315,
0.370619,65.153,
0.371301,65.572,
0.371984,66.41,
0.372666,66.829,
0.373349,67.667,
0.374031,68.715,
0.374714,69.972,
0.375396,71.019,
0.376079,71.857,
0.376761,72.695,
0.377444,73.533,
0.378127,74.371,
0.378809,75.209,
0.379492,76.047,
0.380174,76.885,
0.380857,77.723,
0.381539,78.561,
0.382222,79.19,
0.382904,79.818,
0.383587,80.447,
0.384269,81.075,
0.384952,81.913,
0.385634,82.961,
0.386317,84.218,
0.387,85.265,
0.387682,85.684,
0.388365,86.103,
0.389047,86.522,
0.38973,86.941,
0.390412,87.36,
0.391095,88.407,
0.391777,89.664,
0.39246,90.712,
0.393142,92.178,
0.393825,93.435,
0.394507,94.483,
0.39519,94.902,
0.395873,95.321,
0.396555,95.74,
0.397238,96.159,
0.39792,96.578,
0.398603,97.416,
0.399285,98.254,
0.399968,98.882,
0.40065,99.301,
0.401333,99.301,
0.402015,99.72,
0.402698,99.72,
0.40338,100.139,
0.404063,100.768,
0.404746,101.815,
0.405428,103.072,
0.406111,103.701,
0.406793,103.91,
0.407476,103.91,
0.408158,103.91,
0.408841,103.91,
0.409523,103.91,
0.410206,104.539,
0.410888,105.377,
0.411571,106.005,
0.412253,106.424,
0.412936,106.424,
0.413619,106.843,
0.414301,106.843,
0.414984,107.262,
0.415666,107.891,
0.416349,108.729,
0.417031,109.357,
0.417714,109.357,
0.418396,109.357,
0.419079,109.357,
0.419761,109.357,
0.420444,109.357,
0.421126,109.357,
0.421809,109.357,
0.422492,109.357,
0.423174,109.776,
0.423857,110.195,
0.424539,110.614,
0.425222,110.614,
0.425904,110.614,
0.426587,110.614,
0.427269,110.614,
0.427952,110.614,
0.428634,110.614,
0.429317,110.614,
0.429999,110.614,
